FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
302,"辺","environs",2017-03-14 10:37:13,2017-07-12,7,3,23
303,"巡","patrol",2017-04-20 20:52:40,2017-08-20,7,2,19
304,"車","car",2016-12-20 16:13:01,2017-12-13,8,0,9
305,"連","take along",2017-04-03 10:45:10,2017-07-17,7,4,28
306,"軌","rut",2017-04-03 10:29:38,2017-08-12,7,4,22
307,"輸","transport",2017-04-27 22:17:25,2017-08-19,7,8,34
308,"喩","metaphor",2017-06-03 06:18:49,2017-06-30,5,15,40
309,"前","in front",2017-03-14 10:32:05,2017-07-19,7,3,23
310,"煎","roast",2017-06-03 17:32:09,2017-08-06,6,8,24
311,"各","each",2017-06-07 22:51:45,2018-06-23,8,2,15
312,"格","status",2017-04-03 10:44:22,2017-08-11,7,5,31
313,"賂","graft",2017-06-08 23:37:48,2017-06-15,3,9,21
314,"略","abbreviation",2017-04-17 14:10:16,2017-08-25,7,5,28
315,"客","guest",2017-04-18 17:46:21,2017-08-18,7,3,23
316,"額","forehead",2017-03-14 10:07:12,2017-10-26,8,2,15
317,"夏","summer",2017-03-14 10:27:53,2017-07-01,7,5,29
318,"処","dispose",2017-05-29 12:59:50,2017-07-22,6,12,44
319,"条","twig",2017-02-15 09:36:13,2017-06-10,7,3,20
320,"落","fall",2017-05-31 07:39:28,2017-08-07,6,9,35
321,"冗","superfluous",2017-06-02 11:30:29,2017-07-30,6,8,31
322,"冥","Hades",2017-04-09 10:37:09,2017-08-04,7,9,31
323,"軍","army",2017-04-06 07:58:57,2017-08-05,7,3,23
324,"輝","radiance",2017-06-04 11:14:26,2017-06-09,3,14,39
325,"運","carry",2017-05-29 13:27:12,2017-07-26,6,7,32
326,"冠","crown",2017-05-31 07:39:27,2017-06-12,4,8,27
327,"夢","dream",2017-04-18 17:47:17,2017-08-05,7,9,33
328,"坑","pit",2017-04-22 23:05:07,2017-08-08,7,11,42
329,"高","tall",2017-04-27 12:07:09,2017-08-23,7,6,33
330,"享","receive",2017-05-22 12:41:09,2017-07-16,6,5,32
331,"塾","cram school",2017-05-30 12:49:10,2017-08-03,6,6,23
332,"熟","mellow",2017-05-02 08:26:35,2017-07-10,6,7,31
333,"亭","pavilion",2017-03-08 10:51:35,2017-07-20,7,4,23
334,"京","capital",2017-04-27 07:18:25,2017-08-13,7,1,15
335,"涼","refreshing",2017-04-28 07:03:13,2017-08-27,7,3,24
336,"景","scenery",2017-04-27 11:43:05,2017-08-11,7,2,19
337,"鯨","whale",2017-04-27 07:09:16,2017-08-29,7,2,18
338,"舎","cottage",2017-04-26 07:41:52,2017-09-03,7,2,20
339,"周","circumference",2017-05-28 12:28:24,2017-06-12,4,8,22
340,"週","week",2017-06-07 23:53:55,2017-10-01,7,5,26
341,"士","gentleman",2017-05-15 14:30:31,2017-11-04,7,4,18
342,"吉","good luck",2017-04-27 12:10:44,2017-08-20,7,3,23
343,"壮","robust",2017-04-17 13:50:16,2017-08-24,7,2,20
344,"荘","villa",2017-04-24 15:31:11,2017-08-28,7,4,24
345,"売","sell",2017-06-05 18:45:32,2017-08-10,6,6,21
346,"学","study",2017-04-03 10:26:53,2017-08-03,7,2,19
347,"覚","memorize",2017-04-27 06:58:11,2017-08-14,7,2,20
348,"栄","flourish",2017-03-14 10:37:13,2017-06-29,7,3,23
349,"書","write",2017-05-28 13:11:24,2017-08-02,6,8,34
350,"津","haven",2017-02-16 10:06:12,2017-06-26,7,3,19
351,"牧","breed",2017-05-30 09:17:45,2017-07-22,6,3,19
352,"攻","aggression",2017-03-14 10:27:53,2017-07-18,7,1,15
353,"敗","failure",2017-04-03 10:22:20,2017-08-15,7,4,21
354,"枚","a sheet of",2017-04-17 13:38:01,2017-08-04,7,3,19
355,"故","happenstance",2017-04-17 12:54:30,2017-08-24,7,4,27
356,"敬","awe",2017-03-14 10:34:36,2017-07-19,7,5,26
357,"言","say",2017-04-27 11:43:01,2017-08-15,7,3,19
358,"警","admonish",2017-06-02 11:30:29,2017-06-28,5,8,33
359,"計","plot",2017-04-26 07:41:52,2017-09-05,7,2,19
360,"詮","elucidate",2017-06-04 11:30:35,2017-06-18,4,7,26
361,"獄","prison",2017-03-28 08:45:47,2017-07-13,7,4,25
362,"訂","revise",2017-04-26 22:11:48,2017-08-28,7,5,29
363,"訃","obituary",2017-04-09 11:08:58,2017-08-14,7,5,23
